"id","job_title","company_name","job_location","city","region","country","email_id","email_date","total_jobs"
1,"Marketing Science Data Scientist / Analyst","Meta","Amsterdam, North Holland, Netherlands","Amsterdam"," North Holland"," Netherlands","180baff9316a3979","2022-05-12",NULL
2,"Principal Scientist, Data Science (JRD DS).","Johnson & Johnson","Antwerp, Flemish Region, Belgium","Antwerp"," Flemish Region"," Belgium","180baff9316a3979","2022-05-12",NULL
3,"Research Principal, Statistics","PharmiWeb.Jobs","Havelte, Drenthe, Netherlands","Havelte"," Drenthe"," Netherlands","180baff9316a3979","2022-05-12",NULL
4,"Senior Product Manager - Pricing Measurement","Zalando","Berlin, Berlin, Germany","Berlin"," Berlin"," Germany","180baff9316a3979","2022-05-12",NULL
5,"Senior/Principal Applied Scientist - Traffic & Pricing Platform (w/d/m)","Zalando","Berlin, Berlin, Germany","Berlin"," Berlin"," Germany","180baff9316a3979","2022-05-12",NULL
6,"Sr. Statistician","PharmiWeb.Jobs","Havelte, Drenthe, Netherlands","Havelte"," Drenthe"," Netherlands","180baff9316a3979","2022-05-12",NULL
7,"Applied Science Manager (m/f/d)","Zalando","Berlin, Berlin, Germany","Berlin"," Berlin"," Germany","180c0d9d4c77d997","2022-05-13",NULL
8,"Data Scientist, Campaigns","Bolt","Tallinn, Harjumaa, Estonia","Tallinn"," Harjumaa"," Estonia","180c0d9d4c77d997","2022-05-13",NULL
9,"Director, Insights Data Science","Bain & Company","Copenhagen, Capital Region, Denmark","Copenhagen"," Capital Region"," Denmark","180c0d9d4c77d997","2022-05-13",NULL
10,"Manager, Data Science - Quick Commerce (f/m/d)","Delivery Hero","Berlin, Berlin, Germany","Berlin"," Berlin"," Germany","180c0d9d4c77d997","2022-05-13",NULL
11,"Data Scientist","Bolt","Tartu, Tartumaa, Estonia","Tartu"," Tartumaa"," Estonia","180c4febd4a47dc1","2022-05-14",NULL
12,"Data Scientist - Statistical Testing & Analytics | on-site or remote","BestSecret Group","Munich, Bavaria, Germany","Munich"," Bavaria"," Germany","180c4febd4a47dc1","2022-05-14",NULL
13,"Senior/Principal Applied Scientist - Traffic & Pricing Platform (w/d/m)","Zalando","Berlin, Berlin, Germany","Berlin"," Berlin"," Germany","180c4febd4a47dc1","2022-05-14",NULL
14,"Applied Science Manager (m/f/d)","Zalando","Berlin, Berlin, Germany","Berlin"," Berlin"," Germany","180c9894bef41758","2022-05-15",NULL
15,"Senior/Principal Applied Scientist - Traffic & Pricing Platform (w/d/m)","Zalando","Berlin, Berlin, Germany","Berlin"," Berlin"," Germany","180c9894bef41758","2022-05-15",NULL
16,"Causal Data Scientist (Pricing Experimentation)","Zalando","Berlin, Berlin, Germany","Berlin"," Berlin"," Germany","180d161f8f301fb6","2022-05-17",NULL
17,"Manager, Insights Data Science","Bain & Company","Munich, Bavaria, Germany","Munich"," Bavaria"," Germany","180d161f8f301fb6","2022-05-17",NULL
18,"Research Scientist in Machine Learning and XAI M/F (fixed-term contract)","TotalEnergies","Palaiseau, Île-de-France, France","Palaiseau"," Île-de-France"," France","180d161f8f301fb6","2022-05-17",NULL
19,"Data Scientist (m/f/d)","Crealytics","Berlin, Germany","Berlin"," Germany",NULL,"180d3f5368600fa0","2022-05-17",NULL
20,"Data Scientist - Insights (UFB)","Udemy","Dublin, County Dublin, Ireland","Dublin"," County Dublin"," Ireland","180d3f5368600fa0","2022-05-17",NULL
21,"Machine Learning Engineer (Forecasting)","GfK","Nuremberg, Bavaria, Germany","Nuremberg"," Bavaria"," Germany","180d3f5368600fa0","2022-05-17",NULL
22,"Research Scientist in Machine Learning and XAI M/F (fixed-term contract)","TotalEnergies","Palaiseau, Île-de-France, France","Palaiseau"," Île-de-France"," France","180d3f5368600fa0","2022-05-17",NULL
23,"Senior Data Scientist/Analyst","Market Partner Scandinavia","Stockholm, Stockholm County, Sweden","Stockholm"," Stockholm County"," Sweden","180d3f5368600fa0","2022-05-17",NULL
24,"Senior/Principal Applied Scientist - Traffic & Pricing Platform (w/d/m)","Zalando","Berlin, Berlin, Germany","Berlin"," Berlin"," Germany","180d3f5368600fa0","2022-05-17",NULL
25,"Applied Scientist ML/DL/NLP, Intelligent Cloud Control, Service Reliability/ML/MLaaS","Amazon","Berlin, Berlin, Germany","Berlin"," Berlin"," Germany","180daf93e891bf47","2022-05-18",NULL
26,"Head of Applied Science - Pricing & Assortment Steering Algorithms (all genders)","Zalando","Berlin, Berlin, Germany","Berlin"," Berlin"," Germany","180daf93e891bf47","2022-05-18",NULL
27,"Junior Quantitative Researcher","Capstone Investment Advisors","Amsterdam, North Holland, Netherlands","Amsterdam"," North Holland"," Netherlands","180daf93e891bf47","2022-05-18",NULL
28,"Senior Data Scientist Commerce (Demand Forecasting)","Albert Heijn","Zaanstad, North Holland, Netherlands","Zaanstad"," North Holland"," Netherlands","180daf93e891bf47","2022-05-18",NULL
29,"Applied Scientist ML/DL/NLP, Intelligent Cloud Control, Service Reliability/ML/MLaaS","Amazon","Berlin, Berlin, Germany","Berlin"," Berlin"," Germany","180de85cb76471c9","2022-05-19",NULL
30,"Lead Data Scientist","EPAM Systems","Hoofddorp, North Holland, Netherlands","Hoofddorp"," North Holland"," Netherlands","180de85cb76471c9","2022-05-19",NULL
31,"Machine Learning Manager","Tripadvisor","Lisbon, Lisbon, Portugal","Lisbon"," Lisbon"," Portugal","180de85cb76471c9","2022-05-19",NULL
32,"Principal Product Manager - CLV Measurement","Zalando","Berlin, Berlin, Germany","Berlin"," Berlin"," Germany","180de85cb76471c9","2022-05-19",NULL
33,"Senior Data Scientist","Bolt","Tallinn, Harjumaa, Estonia","Tallinn"," Harjumaa"," Estonia","180de85cb76471c9","2022-05-19",NULL
34,"Data Science Manager (x/f/m)","Doctolib","Paris, Île-de-France, France","Paris"," Île-de-France"," France","180e3bb2ab2b959a","2022-05-20",NULL
35,"Economist (Pricing Experimentation)","Zalando","Berlin, Berlin, Germany","Berlin"," Berlin"," Germany","180e3bb2ab2b959a","2022-05-20",NULL
36,"Product Analyst - Browse, Zalando Lounge (all genders)","Zalando","Berlin, Berlin, Germany","Berlin"," Berlin"," Germany","180e3bb2ab2b959a","2022-05-20",NULL
37,"Senior Manager Machine learning #SWX H/F","Stellantis","Poissy, Île-de-France, France","Poissy"," Île-de-France"," France","180e3bb2ab2b959a","2022-05-20",NULL
38,"HP.com Digital Marketing Analytics Lead","HP","Sant Cugat del Vallès, Catalonia, Spain","Sant Cugat del Vallès"," Catalonia"," Spain","180e8679d09a2e01","2022-05-21",NULL
39,"Principal Scientist, Data Science (JRD DS).","Johnson & Johnson","Antwerp, Flemish Region, Belgium","Antwerp"," Flemish Region"," Belgium","180e8679d09a2e01","2022-05-21",NULL
40,"Research Principal, Statistics","Cytel","Savigny-sur-Seille, Bourgogne-Franche-Comté, France","Savigny-sur-Seille"," Bourgogne-Franche-Comté"," France","180e8679d09a2e01","2022-05-21",NULL
41,"Senior Data Scientist (Product Analytics)","Roku Inc.","Amsterdam, North Holland, Netherlands","Amsterdam"," North Holland"," Netherlands","180e8679d09a2e01","2022-05-21",NULL
42,"Senior Scientist, Data Science (JRD DS) (1 of 3 Openings).","Johnson & Johnson","Antwerp, Flemish Region, Belgium","Antwerp"," Flemish Region"," Belgium","180e8679d09a2e01","2022-05-21",NULL
43,"Postdoc: Modifiable risk factors and inequalities in cognitive ageing","University of Luxembourg","Luxemburg, Walloon Region, Belgium","Luxemburg"," Walloon Region"," Belgium","180ed89c6cfa8bb7","2022-05-22",NULL
44,"Senior/Principal Applied Scientist - Traffic & Pricing Platform (w/d/m)","Zalando","Berlin, Berlin, Germany","Berlin"," Berlin"," Germany","180ed89c6cfa8bb7","2022-05-22",NULL
45,"Software Engineer, Experimentation & Causal Inference","Vinted","Vilnius, Vilniaus, Lithuania","Vilnius"," Vilniaus"," Lithuania","180ed89c6cfa8bb7","2022-05-22",NULL
46,"Applied Science Manager (m/f/d)","Zalando","Berlin, Berlin, Germany","Berlin"," Berlin"," Germany","180f50a47ef63b15","2022-05-24",NULL
47,"Data Analyst","Blaze","Birkirkara, Malta","Birkirkara"," Malta",NULL,"180f50a47ef63b15","2022-05-24",NULL
48,"Data Scientist Lead","Lookiero","Bilbao-Bilbo, Basque Country, Spain","Bilbao-Bilbo"," Basque Country"," Spain","180f50a47ef63b15","2022-05-24",NULL
49,"Research Scientist - Commerce Applied Research (PhD)","Meta","Ireland","Ireland",NULL,NULL,"180f50a47ef63b15","2022-05-24",NULL
50,"Senior Data Scientist Commerce (Demand Forecasting)","Albert Heijn","Zaandam, North Holland, Netherlands","Zaandam"," North Holland"," Netherlands","180f50a47ef63b15","2022-05-24",NULL
